ID,Text,Actual Labels,Predicted Labels,Evaluation
155,"lumang meme pero pare, WEEDS AMPUTA tangina ano ka 15 years old? gago.",0,0,TN
156,Ang Tao ay ginawang dalawang kasarian lamang pero bakit gusto ng iba na Maging bakla at tomboy. Puta LGBT community pa kayong nalalaman eh. Lalaki pa rin naman kayo. Mga nagmamaganda ampota.,0,0,TN
157,Ikaw bobo ang taba taba mo panget na bobo pa amf,0,0,TN
158,Third World Republicans are the worst. Basta Born-Again masama ugal,0,0,TN
159,alexa pwede mo naman ibenta yong pamangkin mo kay kd parang vic sotto at pauline luna lang yan more than ang age gap pucha kang babae ka alexa wala kana talagang delikadesa pati pamangkin mo binebenta mo gago,0,0,TN
160,yung reklamador na bakla na gaya mo dapat tumitigil na sa pag hinga ang perfect niyo masyado eh putang ina mo gago ka kung hirap ka sa buhay magtrabaho ka di yun asa mo sa pangulo bobo,0,0,TN
161,"putang ina bat ang hirap pumasok sa gobyerno tang ina mo duterte tapos yan si bam ui may pangakong aayusin ang unemployment wow sakto sa eleksyon mo naisip gawin yan henyo ka pala, isakang pantas.tang ina nyo",1,1,TP
162,KALA MO MAGANDA TANGINA AMPANGET MO GAGO! PAKYU KPOKPOK FANS.,0,0,TN
163,Tangina Ang ingay mo para kang badjao wala ka namang tambol HAHAHHAAHHAHA bobita,0,0,TN
164,naniniwala ka pa bang mababago mo ang isang babaerong kupal,0,0,TN
165,shout out sayo kuyang nambastos sa akin kanina😁mamatay kana tanga kapag ako napuno sayo uuwi kang lumpo sa inyo😊,0,0,TN
166,"NEGRO AMPUTA! Hahahaha. Bei wag kasi magpainosente kunwari, magmamadre ka ba?",0,0,TN
167,Naiirita ko sa itsura ng gaga. Kamukhang kamukha niya yung bully ko nung highschool. HAHAHAHAHA. Yung mukhang mabait at kalma pero demonyo.,0,0,TN
168,pakyu liam mukha kang paa ng manok,0,0,TN
169,umay puro bobo kamampi sa ML HAHAHAH UWIAN MGA STUDYANTE POTA MAG ASSIGNMENT KAYO!!!,1,1,TP
170,tatanda niyo na para pa rin kayong tanga tangina niyo,0,1,FP
171,may nagsabi sa akin ng ganito dati. ulol. pakyu kaya ayoko sa mga lalaki eh.,0,0,TN
172,partida bobo daw 90 ave di pa nagawa module ngek kadiri talitalinuhan ambahi naman ng mukha parang baboy literal legit talaga alam mo yung nag lalakad na baboy yung nag katawan tao ganon pero feeling mayaman pero walang laman bulsa engk,0,0,TN
173,may pa i decided to be a lesbian kapang nalalaman ulol wag kame niloloko ka lang ng mga lalake kasalanan mo din yan.,0,0,TN
174,matangkad lang naman ‘yon at malaki ang katawan. pangit naman at bobo rin. bagay naman siguro sila. mga bobo,0,0,TN
175,"it's always the peenoise...... do not fucking speak over muslims 😭 kung ako sayo, manahimik ka nalang",0,0,TN
176,"TANGINA NG MANAGER NAMIN, HINDI MARUNONG MAG-MANAGE",1,1,TP
177,"U attack me through online and then U block , baklang bakla lng yarn? takot mabweltahan amputa hahahahaha",0,0,TN
178,pakyu kayong mga minors kayo yung tipong mamatay ka na lang tanga ka ,0,0,TN
179,"Ano kaya nararamdaman ng mga 🐸🐸🐸 ngayon??? Bulag at bingi pa din ba? Tanga-tangahan pa din?? Ito, 💣💣 itali sa self at pasabugin nyo!!",0,0,TN
180,FUCK JUST FUCKING GO BACK TO UR COUNTRIES YALL MUSLIMS IDONT FUCKING CARE KUNG DINIDILAAN NYO BA YANG MUHAMAD WHATSOEVER JUST GO DAMN TERRORISTS,0,0,TN
181,PUTANGINA HINDI DAW TAYO MALILIGTAS SILANG MGA IGLESIA LANG DAW TANGINAAAAA ANG CREEPY TALAGA NYA SINABIHAN KO NALANG SYA NA HINDI NGA AKO NAG SISIMBA SA KATOLIKO TAPOS AAKAYIN MO PA AKO!!! PAKYU KA! NEVER EVER NA MAG PAPAGUPIT SAYO,0,0,TN
182,Why do this so called adults hate on millennials like us eh PUTANGINA NAGING BATA DIN NAMAN KAYO BOBOBO NIYO TUMATANDANG PAURONG,0,0,TN
183,"TANGINA NAKAKALUNGKOT TALAGA PAKYU NUNG MATANDA NA NAGSABI NA MASELAN DAHIL SA MGA TAONG TULAD NIYO MAS DUMADAMI MGA MANYAK. NAKAKATAKAS SILA SA KAGAGUHAN NILA KASE ""maSeLan LanG"" BWISEEETT",0,0,TN
184,Fuckyut ang potah! Ampanget naman puro noong ngipin tapos ang ilong parang bahay ng sangkilong kulangot! Hoy palitan mo profile pakyu mo walang says kakasuka!,0,0,TN
185,FUCK ALLAH FUCK MUSLIMS PUTANGINA NYONG MGA NAMUMUGOT NG ULO,0,0,TN
186,spoiled brat tong PIPI na si Abby! Nakakaleche! sarap tadyakan. lols ,0,0,TN
187,fuck yall INC!! mga nag-imbento ng sarili nilang relihiyon go to hell,0,0,TN
188,PAKYU MUKHA KANG NINJA TURTLE,0,0,TN
189,tangina badtrip ah dinadale ko ng mga iglesia ampukinanginanyo,0,0,TN
190,Puro raw ako kill e mas mataas pa turret damage ko sa kaniya kahit physical attacker siya MALUNOD KA SA BAHA PUTANGINA MO,1,1,TP
191,ANONG DI NYO MAGETS SA KAILANGAN NGA MAGRENT PARA MAGKAPWESTO DITO? TANGINA MO RIN MAYOR KASI KINUKUNSITI MO YANG MGA MUSLIM NA YAN KAYA ANG TATAPANG PUTANGINA NYO,0,0,TN
192,sakanila mababaw yun pero potangna huh. Teenager ako tapos ganun ako kausapin nung lalaking yun? Pakyu ba.,0,0,TN
193,TANGINA MO BADJAO GUNGGONG PAKYU IMPAKTA ULOL KA GAGO,0,0,TN
194,Mahal kita kaht dka ganon kaganda. #GasgasNaYanBro pakyu mga lalaki mhilig sa mganda. Mga ulol!! 😁😁😁 ./.,0,0,TN
195,"TANGINA NUNG MGA EMPLEYADO NG OPISINA NAMIN NA NAGYOYOSI SA ""NO SMOKING"" AREA! KAYO PA MAY GANA MAGALIT KAPAG PINAGSABIHAN KAYONG MGA GAGO KAYO!",1,1,TP
196,Mamatay sana pamilya niyo puta kayo,1,1,TP
197,minsan gusto ko banatan ung mga madre tapos bigyan ko ng sintas ni inggo,0,0,TN
198,Pogi ka nman tlga pandak at mukhang aeta nga lng,0,0,TN
199,napaka-entitled naman netong baby boomer na 'to di porket 20 years older ka sa nagbebenta eh pwede mong sabihan ng mga ganyan amputa kasalanan mong may cheese yung pagkain mo dahil may katawag ka habang nag-oorder pinahiya pa yung nagbebenta tangina pay attention kasi???,0,0,TN
200,NAKAKAUMAY YUNG MGA KAMAG-ANAK NA KUNG MAKASILIP SA MGA BAGONG GAMIT MO AKALA MO INUTANG MO SAKANILA KAHIT BINILI MO NAMAN YON GALING SA PERANG SINAHOD AT PINAGHIRAPAN MO. TANGINA LANG ANG KAKAPAL NG MUKHA MAGPARINIG ONLINE NA AKALA MO DAPAT MERON DIN SILA PAG MAY BINIBILI KA PARA SA SARILI MO AT SA PAMILYA MO!,1,1,TP
201, feeling niyo pag mabait kayo pupunta kayo sa langit? haha mga gago kung INC ka or katoliko ka or muslim or Born again mga sira ulo mali mali lahat ng akala niyo akala niyo ata mababait kayo kapag pumili kayo ng presidenteng mabait haha.. mga tanga,0,0,TN
202,PUTANGINA NG KABATAANG PINOY NA NAGHIHIMAGSIK DAHIL DI NA REQUIRED ANG FIL SUBJECT SA COLLEGE! NAKAKASUKA ANG PAGKA IPOKRITO NIYO,0,0,TN
203,ayoko na mag fb tanginang yan mga babae pa nanghihingi ng link amputcha bobo ba kayo o bobo kayo? minor yan tas pinag p pyestahan nyo tangina,0,0,TN
204,TANGINA MO ANG TABA MO TAS FEELING MAGANDA PA,0,0,TN
205,Kadiri cookies Ng mga Indian na to,0,0,TN
206,i dont have boy bestfriends kasi mga tarantado sila and kadiri nagpapalakihan sila ng tite sa comfort room tapos porke kpop stan bakla na agad,0,0,TN
207,Arcan Ville putangina mo mamatay ka na ulol dba gusto mo mga mamatay yng mga katoliko mamatay ka na pag di ka mamatay ako papatay sayo Ulol,0,0,TN
208,Mas dugyot po mukha at utak mo. Kadiri. Utak talangka and self proclaimed wRitEr pero simple subject verb agreement bobo naman. ,0,0,TN
209,Raisa tanda pakiusap sana pra my maiambag ka naman katahimikan ng pinas manahimik kna ng tuluyan.npa ka bobo mo at ulyanin na mgbigti kna.,0,0,TN
210,TANGINAAA RIGHT NOW I CANT SEE MYSELF BEING PAIRED WITH ANYONE ELS JUSKO NAMAN GURL BALAK MO BA KAMI PATAYIN NG SABAY SABAY AJCJEKEKKCJSJAKAJAJJAQJSJ,1,0,FN
211,TANGINA YUNG MGA HINDU MGA INDIANO YUN DIBA? KAYA PALA AMBABAHO AMPUTA,0,0,TN
212,TANGINA MO DUTERTE NILAGAY MONG TAGA IMBESTIGA SA MGA MARCOS ISANG ALIPORES NILA EH DI MALAMANG ABSWELTO YUNG MGA YUN,1,1,TP
213,tumawa pa ang mukhang negra! dahil nalaglag ako sa hagdan! sarap mo ring sabunutan e!  ,0,0,TN
214,Ang yabang talaga ng Nognog kong Kuya. Kala mo naman may maipagmamalaki. Sarap sapakin e,0,0,TN
215,Pinagsasabe nyang unggoy na Quiboloy na yan?? Sino ba yan? Tangina ang panget at ang asim naman ng pagmumukha tangina​ bobo ampota!!,0,0,TN
216,"AT TATANONG KA PA KUNG ""GANDA KA BA?"" OO GAGO MAGANDA KO PAKYU MUKHA KANG BURAT. Good morning sayo kinangina mo.",0,0,TN
217,nakakadiri talaga kayong mga putangina niyong nambabastos ng babae,0,0,TN
218,may valid id na ako sa wakas pero pucha di ko maverify gcash ko kasi ang lala ng nginig ng kamay ni bakla,0,0,TN
219,ano naman ngayon kung nagja jacket ako kahit mainit? ikaw nga tanda tanda mo na naka baby bra kapa den ulol,0,0,TN
220,"tangina lang yung mga babaeng manloloko. paano niyo nagagawang saktan ang mga lalaki? dahil sinasaktan din kayo, tayo? GROW UP PLS",0,0,TN
221,sobrang landi nitong bagong loveteam mo ang dami lalaki punyeta sana pagkatapos ng project niyong dalawa ipartner ka na sa iba seth mas malandi pa yan kay andrea promise,1,0,FN
222,TANGINA LAHAT NG MGA STRAIGHT DYAN!! ANG PAPANGIT NIYO TALO ANG PHILIPPINES,0,0,TN
223,KAKAHIYA MAGING PINOY!PINAMUMUGARAN NG MGA MAGNANAKAW AT MGA BOBO POLITICO,0,0,TN
224,abm for millennials? eh kung pasabugin ko bungo mo ng maranasan mo mag abm!!,0,0,TN
225,Yang kabobohan mo wala lugar yan. Kung ako sayo mag dota ka nalang. Ayy teka di din pwede dota sa bobo. Matulog ka nalang. Di ka pa tubuan ng tigyawat.,0,1,FP
226, nognog naman kase talaga yun eh kadiri baho baho pa nun hays,0,0,TN
227,putangina sinabing tama na kakabigay ng boyfriend kay baby girl eh!!!! Bading yan kita niyo BADING BAKLA BADING BADING BAKLA,0,0,TN
228,Hanapin mong tanga ka! Born again ka pang nalalaman?! Hoy kulto ka ni dugong! Hayup na to Sarap mo murahin tanga!,0,0,TN
229,Anong name ng siraulo at may mental disorder na nagpadala ng mga buang na mura ng mura tuwing madaling araw sa paligid ko? Para alam ko kung sinong ipapadala ko sa impyerno ng maaga. NAKAKAINIS AT NAKAKABWISET EH. NANANAHIMIK AKO TAPOS MURA NG MURA? DINEDEMONYO MO BA ANG UTAK KO?,0,0,TN
230,fuck shit buddha is gay,0,0,TN
231,"PUTANGINA NAKAKASUKA KANG BABAE KA! MAWALANG GALANG NA, PERO MAY MGA KAIBIGAN AKONG MUSLIM PERO HNDI KTLAD MO!",0,0,TN
232,mga salot sa lipunan talaga mga taong nagre- resell ng tickets for an abnormal price gago taking advantage of fans’ desperation talaga bwisit,1,1,TP
233,Hoy tanga waray badjao manahimik ka ita ka negrita ulol ka n nmn,0,0,TN
234,PUTCHA!! Gusto mo talaga gaguhan ahh!! Ibibigay ko sa'yo yan! TANGA!!,1,1,TP
235,PUTANGINA TALAGA AMPUTA GINUPIT NG TITA KO YUNG MGA PHOTOCARD KO PARA DAW MAG KASYA SA LALAGYANAN NANG GIGIGIL AKO PIGILAN NYOKO MAKAKAPATAY AKO NG TAO MGA PHOTOCARDS KO PA TALAGA PINAG TRIPAN EH TANGINA,1,1,TP
236,Ulol bahala ka jan tanginaka bobo pakyu bobo ka inutil kupal,1,1,TP
237,DEMONYO KANG IMPAKTO KA NAGBABAHAY-BAHAYAN KANG PUTANG INA MO TARANTADO KA HAYOP,1,1,TP
238,"and who are you to speak for her monita cringey dn? no one deserves to hated except jn? then by using your fckass logic your fave deserved every hate she receives too? its always a filo fckass mindset, kaya hindi umuusad pinas dahil sa mindset na ganito ang bobo lang",0,0,TN
239,puta ka di mo ba alam meaning ng bisexual di porket nag sa lalake straight na di rin porket may type na sa lalaki straight na punyeta,0,0,TN
240,"may mag mamahal pa pala sayo kahit ang taba, bobo, at ang pangit mo",0,0,TN
241,"tangina ng mga straight amp0ta kahit music taste,,, basura amp0ta ",0,0,TN
242,Sarap patayin nung mga negro eh.. Kawawa tuloy yng lalake :(( di kase lumaban.,0,0,TN
243,MUKHA KANG IGOROT SUPOT KA PA ATA EH KADIRI KA MUKHA KANG MAY AIDS,0,0,TN
244,Sasabihin na ni negro totoo epal ka naman Lyndon!!! Kupal ka talaga!!! Tangna sana ikaw nalang namatay!!!!utang na loob mo tangna mo!!!,0,0,TN
245,Barry abogagong bobo! Mas masahol pa to sa post mo! Kawawa talaga si lutang lenie latang lata na sa twitter. Abogago hindi ka ba naawa sa kanya. Pag binanatan mo ang goberno ang babalikan si Lutang Lenie😁,1,1,TP
246,TANGINA SARAP ISALVAGE NITONG MGA MAINLANDER NA ITO SABAY TAPON SA ILOG KINGINA NIYO OVERPOPULATED NA NGA ITONG LINTIK NA BANSA NA ITO DADAGDAG PA KAYO,0,0,TN
247,Ulol pakyu isipin mo mga ginagawa ng lalaki satin kailangan din. Natin gumanti tigirl,0,0,TN
248,Chingchong pa! Magpapasok pa kayo sa bansa. Baka kulang pa. Mga tanga!,0,0,TN
249,yung mga kumakahol dyan mga Muslim naman kayo kaya manahimik na Lang Kayo,0,0,TN
250,Nakakahiya naman sainyo millenials. saksak nyo s baga nyo yang punyetang #BTS n yan. KPOPampam,0,0,TN
251,NAKAKAIRITA NA YUNG TONO NG PAGTATANONG NILA SA KUNG ANO PINAGKAKAABALAHAN KO NGAYON PARANG MAY JUDGEMENT! TANG INA LANG NG BABY BOOMER NA YUN REEEEEEE,0,0,TN
252,"TANGINA NG MGA STRAIGHT NA BIDA BIDA DAHIL KATATAPOS LANG NG PRIDE MARCH!!!!! FEELING NIYO KINAGANDA NIYO YANG PRIVILEGE NIYO???? TANGINA NIYO MGA KAPIT MATATAG!!!!! KUNG MATAPANG TALAGA KAYO, WAG NIYONG GAMITING YANG STRAIGHT PRIVILEGES NIYO TANGINA",0,0,TN
253,tanga di ka buddhist pero kamukha mo si buddha 😂,0,0,TN
254,"Ikaw putang Ina mo musk, Zuckerberg din ugali mong putang Ina mong americano ka. Ikaw na atheist makikialam sa christian prophecy? Putang Ina mo ULOL!",0,0,TN
255,tangina ng mga konserbatibong katoliko talaga di na nga nagbabayad ng buwis simbahan nyo ampotangena andami pang kagaguhan,0,0,TN
256,mga gago na imbes na hatakin pataas tinutulak pababa mga kupal na filipino tangina ang bobobo yung bts mga bakla yang mga kupal nayan eh yung pinag iisuehan niyo? bakla mga idiot na filipino mga putangina nyo fans ng bts gago!! tanggapin nyo na bakla tangina nyo idiot!!,0,0,TN
257,"SA MGA MATATANDA DIYAN NA NAGSASABI NA ""HINDI PA BOTANTE PERO KUDA NG KUDA"" PASENSYA NA HO PERO PUTANGINA. MAY PAKE HO KAMI SA KINABUKASAN NAMIN PALIBHASA KAYO MAWAWALA NA SA MUNDO KAYA GANYAN KAYO MAGSALITA. ANG TAGAL NIYO NANG BUHAY SA MUNDO PERO ANG TATANGA NIYO.",0,0,TN
258,PUTANGINA NITONG SENIORS NA TO PARA KAYONG MGA BATA NA NAGKUKUMAHOG SA DEADLINE TANGINA PROFESSIONAL TAWAG NIYO SA SARILI NIYO? ILANG BUWAN NA YUNG PROJECT TAPOS SA TUESDAY DAW YUNG DEADLINE. TANGINA NIYO! KUNG SA TINGIN NIYO TAMAD AKO BOBO LANG KAYO AT HYPER INEFFICIENT LANG KAYO PWEH!,0,0,TN
259,Yung gusto mo rin irant sa fb yung transpo shit sa pinas pero tangina kasi ng mga baby boomer sa fb dapat talaga gawan sila ng sariling platform e yung sila lang makakakita 😂😂,0,0,TN
260,ULUL TANGINA MO PAKYU KANG MATANDA KA GAGO 🖕 ,0,0,TN
261,MEN ARE FUCKING TRASH. KAHIT LALAKI AKO AMP TANGINA TALAGA NG MGA MANLOLOKO NANGGIGIGIL AKO PANGIT PANGIT NAMAN,0,0,TN
262,Nagreact ako sa isang fb post tungkol ke Taberna. Kinuyog ako ng nga alagad ng sekta INC hehe. Nagkandatae ang mga demonyo!,0,0,TN
263,Sobra yabang sis aywan ko diyan nag born again ba ugali akala naging fiscal sabi nila diploma galing sa recto,0,0,TN
264,MGA PUTRAGIS ITO PA DUMAGDAG PA 'TONG SI PLDT LECHE WALANG INTERNET HAYUP TALAGA WALA NA NGA TUBIG WALA PANG INTERNET HAY NAKO AM I LIVING IN 2019 OR 1919,1,1,TP
265,ok rant ahead dito ako maglalabas ng sama ng loob kasi kumukulo talaga dugo ko putangina niya putangina ng mga lalaki pakyu ulol saan ba kayo pinaglihi basic human decency hindi niyo magawa gawa,0,1,FP
266,"maputi lang daw ako, ulol maitim ka lang",0,0,TN
267,Badjao ka nga tapos sunod kapa sa hype ng nba tangina wala na pinis na ubos na pinalimos mo sa jeep. Hmmm.,0,0,TN
268,Tanginang mga arabo to. Sarap pag tatadyakan. Sarap ngudngud sa sahig tangina.,0,0,TN
269,parang ang pangit namang tingnan kapag same sex couple nag-adapt ng bata? like im not a homophobe ok dont attack me i support lgbt but srsly? ang pangit na nanormalize sya sa mga bata,0,0,TN
270,gago kahit ano namang gawin natin kung ijujudge nila tayo ijujudge nila tayo. pakyu kayong mga lalaki.,0,0,TN
271,"TBH, ang pangit mo talaga, ang sama pa nang ugali mo, ang taba mo at higit sa lahat ang bobo mo",0,0,TN
272,POTA TALAGA DLSU LALO NA SA PROF KO NA BIGAY NG BIGAY NG TRABAHO KASI YOON ANG INIISIP NIYANG KATUMBAS NG PUTANGINANG ONLINE LEARNING NA YAN DI MAN LANG MAG-EFFORT NA MAGDISCUSS NA LANG KAHIT THROUGH LECTURE NOTES PERO HINDI ANG EXCUSE NIYA KAYA BIGAY NG BIGAY NG TRABAHO PARA DAW MA-ENSURE NA MAY MATUTUNAN KAMI DEPUTA ITO NA PALA 80K TUITION KO THIS TERM,1,1,TP
273,bobo kasi karamihan ng pinoy thats it,0,0,TN
274,tanga huwag kang tatalon mataba ka tatalbog ka lang,0,0,TN
275,tara lets learn korean 🤩ching chink chong cheengg hooa lao shink chink brea andong seng la he la yo ara ara tangina mo lintik kayo tangina nyo,0,0,TN
276,TANGINA MANINIWALA LANG AKO SA MGA REBULTO NYO KAPAG LUMABAN YAN KAPAG BINASAG KO PUTANGINA NYO MGA IPOKRITONG KATOLIKO,0,0,TN
277,Ulol tang ina mo kau ang mamatay kau ang dapat mapunta sa impyerno mga iglesia Gago,0,0,TN
278,yung lalaking tanga na kasama nila nakikinig ata sa conversation namin and he thought na yung word na madaming matakaw ay para sa kanila,0,0,TN
279,INC talga ang mga salot at pahirap sa Pilipinas. Di tayo lulubog kng di sila elect ng elect ng mga kampon ng demonyo. Pesteng kulto tlga yan!,0,0,TN
280,TANGINA! LAGI NALANG NADADAMAY YUNG LAG LILINGKOD KO AH? TSK PAKITANG TAO? NAKAKA PUNYETA TALAGA MGA PINAG SASBI MK EH NOH PALIBHASA MUSLIM MUSLIMAN MA KAYA KA GANYAN,0,0,TN
281,Sarap mo talaga suntukin inayupak ka!!!!pati pag tulog ng lunch babawalan mo kami..kung sa pinas ka lang lumpo kana!!my araw ka din!!!!!,0,0,TN
282,PUKING INA KA AKALA MO NAMAN ANG GWAPO MONG TOMBOY GAGO ANG PANGET AT ASIM MO👹👹👹👹,0,0,TN
283,Punta ka pa sa parteng Divisoria daming mga baboy na bisaya at muslim. payabangan pa sila tapos ang bababoy. mga bastos at patapangan pa sila. Mga taga parola baseco. Papangit pa ng ichura mga bobong tanga na mangmang sobrang dami.,0,0,TN
284,Proud cheater kapa ang papangit naman ng mga nilalandi mo HAHAHAHA jusq.,0,1,FP
285,"INC, religion ng mga inutil. Leave that ckufing church and live a better life.",0,0,TN
286,tanginang matching yan codm ikakampi mga tanga tapos kalaban chingchong pota,0,0,TN
287,"Ayusin mo yang paggrade mong hayop ka, mukha kang tite, isa kang hindot. Burikat kang hinayupak ka, tarantado, walang modo, balbal, inutil, hayop. WAG KA NA MAGTURO KUNG ANG LALABAS SA QUIZ MO DI MO TINURO. MAHIYA KA SA KAPUKIPUKIHAN NG INAAAAMOOO.",0,0,TN
288,Hindi na dapat to ineexplain eh! Nakakapagtaka lng dapat kasi alam na natin to. It just shows na bobo lng tlga ang mga pinoy or di kaya masyadong nasanay sa pagiging palamunin kaya na-butthurt?!,0,0,TN
289,"tangina lahat ng groupwork ko, may kaaway akong lalake 😫 nO cause why tf r yall both stupid and fucking uselessss",0,0,TN
290,pag nakakakita tlaga ako ng negra naalala ko yung wrestling. puta sarap patayin ni negneg haha,0,0,TN
291,everybody say 'putangina mo china',0,0,TN
292,Sana magkahiv yung pwet mong malanding bakla ew,0,0,TN
293,"RAMING ALAM NG MGA KATOLIKO TANGINA RAPIST NAMAN YANG MGA NASA ITAAS NINYO. SHUT YOUR DAMN MOUTH, AND DONT ACT AS IF YOURE HOLY AT ALL KASI HINDI. MABABANTOT KAYO, MAS MASAHOL PA SA ASO!!!",0,0,TN
294,"Tanginang mga against yan sa lgbt+ community, HAHAHAHAHHAHA mukhang mga libag. Gago.",0,0,TN
295,"God created Adam and Eve, not Adam and Steve. Bobo lang ang tataliwas sa salita ng Diyos. Isang malalking kalokohan ang LGBT community",0,0,TN
296,tangina nkakadiri talaga mga bakla kayang-kaya makipagpatayan para sa chupa,0,0,TN
297,tangina hanggang ngayon isip bata ka parin tsk tsk kawawang nilalang,0,0,TN
298,mas ULOL ka! GAGO! SALOT kalang sa LIPUNAN TANDA! PAKYU! SHET KA! GO TO HELL YO BITCH!,0,0,TN
299,pakyu bata patayin kita realquick,0,0,TN
300,Kunwari kakampi sya ni Madumb. Pero nakaabang lang din yan. Palibhasa hindi makaporma sa Babaeng Ahas. ,0,0,TN
301,Kawawa naman yung mga pulis na pinatay sa maguindanao tangina ng mga muslim na pumatay pakyu!,0,0,TN
302,galit ako sobra what the fuck putangina hindi kasalanan ng babae na narape sila dahil sa damit putangina nasasaktan ako para sa kaniya,0,1,FP
303,MOTHER THERESA IS A BITCH NAPAKAPUTANGINA NG ROMAN CATHOLIC CHURCH AS THEY GET AWAY WITH THEIR SINS DEVILS,0,0,TN
304,Tangina nyo mamamatay din lahat ng baby boomers,0,0,TN
305,this black guy doesn’t know how to fight tanga bobo amputa bakla,0,0,TN
306,sorry but bwiset pa din ako sa bibili bili ng ticket tapos di naman manunuod tapos ibebenta sa higher price like wtf dati hindi ganito sa kworld juskolord ok but lets move on,1,1,TP
307,badjaw sana ang sperm na mabigay sayo :P para badjaw mga anak mo. Igorot. Ew.,0,0,TN
308,tangina pasalamat yung bakla na yun medyo matanda na nanay nya kung hindi baka di na lumaki yun,0,0,TN
309,Hoy haba ng baba pinaglihi sa ruler,0,0,TN
310,Ganda ka ganda ka?  Ulol mukha ka ngang bombay eh😂😝pakyu ka oi,0,0,TN
